                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8174,                 5.5107,                  4.053,                 0.1931,                0.14059,                0.08919,                0.03081,                 2.5164,                 4.4351,                  3.649,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.0667,                 3.3832,                 2.9064,                0.41672,                0.38393,                0.35889,                0.17525,                 1.8992,                 2.9277,                 2.5285,              0.0066518,              0.0066518,              0.0066518
                      3,                 1.6503,                 2.1621,                  2.317,                0.18373,                0.37776,                0.19497,                0.08446,                 1.8684,                 4.2018,                 2.5185,               0.009972,               0.009972,               0.009972
                      4,                  1.425,                 1.6781,                 2.0535,                0.64232,                0.41902,                0.49947,                0.28362,                   1.47,                 2.0429,                 2.0614,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.2826,                 1.3754,                 1.8725,                 0.6346,                0.62013,                0.63464,                0.40171,                 1.4738,                 1.6995,                 2.0459,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.1929,                 1.2054,                   1.79,                0.73532,                0.65734,                0.71027,                0.46078,                 1.3079,                 1.4913,                 1.8387,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1031,                 1.0738,                  1.692,                0.78968,                0.69688,                0.78477,                0.52957,                 1.2841,                 1.2556,                 1.8252,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.0401,                 0.9603,                  1.621,                0.78827,                0.71361,                0.79062,                0.54046,                 1.1943,                 1.2857,                 1.7859,              0.0099307,              0.0099307,              0.0099307
                      9,                 0.9839,                0.88432,                 1.5638,                 0.6712,                0.61585,                0.67728,                0.46539,                 1.3471,                 1.5837,                 1.9315,              0.0099208,              0.0099208,              0.0099208
                     10,                0.93727,                0.80697,                 1.5151,                0.84153,                 0.7703,                0.85296,                0.60195,                 1.1721,                 1.0763,                 1.7105,              0.0099109,              0.0099109,              0.0099109
                     11,                0.89095,                0.74068,                 1.4614,                0.83344,                0.73946,                0.82662,                0.58691,                 1.1339,                 1.1519,                 1.6799,               0.009901,               0.009901,               0.009901
                     12,                0.85137,                0.69939,                 1.4191,                 0.8513,                0.77323,                0.84642,                 0.6031,                 1.1514,                 1.1021,                 1.7052,              0.0098911,              0.0098911,              0.0098911
                     13,                 0.8154,                0.66701,                 1.3814,                0.81808,                0.76052,                 0.8397,                0.60381,                 1.1564,                 1.0771,                 1.7008,              0.0098812,              0.0098812,              0.0098812
                     14,                0.78609,                0.62609,                 1.3461,                0.86082,                0.80666,                0.86841,                0.63467,                 1.1208,                 1.0495,                 1.6716,              0.0098713,              0.0098713,              0.0098713
                     15,                0.75673,                0.59515,                 1.3143,                0.82679,                0.77949,                0.83551,                0.59494,                 1.0966,                 1.0516,                 1.6468,              0.0098614,              0.0098614,              0.0098614
                     16,                0.72698,                0.57188,                 1.2855,                0.89032,                0.78438,                0.86649,                0.63459,                 1.0892,                 1.0035,                  1.636,              0.0098515,              0.0098515,              0.0098515
                     17,                 0.7056,                 0.5485,                 1.2634,                0.86938,                0.79246,                0.87377,                0.63468,                 1.0981,                0.95967,                 1.6531,              0.0098416,              0.0098416,              0.0098416
                     18,                 0.6861,                0.53301,                 1.2408,                0.84237,                0.81152,                0.87534,                0.63385,                 1.1187,                0.98193,                 1.6643,              0.0098317,              0.0098317,              0.0098317
                     19,                0.66558,                 0.5093,                 1.2205,                0.84407,                 0.7769,                0.84821,                0.63352,                 1.0857,                0.98977,                 1.6351,              0.0098218,              0.0098218,              0.0098218
                     20,                0.64156,                 0.4919,                 1.1986,                0.90075,                 0.7991,                0.86468,                0.64321,                 1.0526,                0.98663,                 1.6642,              0.0098119,              0.0098119,              0.0098119
                     21,                0.62192,                0.47207,                 1.1738,                0.85064,                0.81005,                 0.8628,                0.64147,                 1.0538,                0.95039,                 1.6556,               0.009802,               0.009802,               0.009802
                     22,                0.61122,                0.46059,                 1.1638,                0.84107,                0.82988,                0.87935,                0.64995,                 1.0596,                0.89239,                  1.662,              0.0097921,              0.0097921,              0.0097921
                     23,                 0.5887,                0.44186,                 1.1416,                0.84771,                0.82652,                0.85894,                0.63759,                 1.0783,                0.90452,                 1.6874,              0.0097822,              0.0097822,              0.0097822
